source city,destination city,mode_of_travel,budget_planned_in_inr,amount_spent_in_inr,trip_type,start_date,end_date,category
Delhi,Agra,Train,5000,4800,devotional,10-01-2024,12-01-2024,food
Delhi,Jaipur,Bus,6000,6500,adventure,05-02-2024,08-02-2024,stay
Mumbai,Pune,Car,4000,4500,relaxing,15-03-2024,17-03-2024,travel
Bangalore,Mysore,Bus,3500,3300,devotional,01-04-2024,02-04-2024,food
Chennai,Coimbatore,Train,3000,2800,adventure,10-05-2024,12-05-2024,stay
Kolkata,Darjeeling,Train,7000,7100,relaxing,20-06-2024,25-06-2024,travel
Hyderabad,Visakhapatnam,Flight,10000,9500,adventure,10-07-2024,15-07-2024,food
Pune,Goa,Car,15000,14000,relaxing,01-08-2024,07-08-2024,stay
Chandigarh,Manali,Bus,8000,7500,adventure,10-09-2024,14-09-2024,travel
Bhopal,Khajuraho,Train,6000,5500,devotional,05-10-2024,07-10-2024,food
Nagpur,Shirdi,Car,3000,3200,devotional,01-11-2024,02-11-2024,stay
Kochi,Alleppey,Boat,5000,4800,relaxing,10-12-2024,12-12-2024,travel
Ahmedabad,Rajkot,Bus,2500,2400,adventure,15-11-2024,16-11-2024,food
Delhi,Varanasi,Flight,12000,11000,devotional,20-12-2024,23-12-2024,stay
Delhi,Varanasi,Flight,12000,7000,devotional,20-12-2024,23-12-2024,travel
Mumbai,Lonavala,Train,3500,3400,relaxing,05-01-2025,06-01-2025,food
Bangalore,Chikmagalur,Car,4500,4700,adventure,10-01-2025,12-01-2025,stay
Chennai,Tiruchirapalli,Bus,2000,2100,devotional,15-01-2025,16-01-2025,travel
Kolkata,Puri,Train,5000,5200,relaxing,01-02-2025,04-02-2025,food
Bhopal,Ujjain,Bus,3000,2900,devotional,10-02-2025,11-02-2025,stay
Mumbai,Alibaug,Car,3500,3400,relaxing,01-03-2025,02-03-2025,travel
Hyderabad,Warangal,Train,4500,4400,adventure,10-03-2025,12-03-2025,food
Chennai,Kanchipuram,Bus,2500,2400,devotional,05-04-2025,06-04-2025,stay
Delhi,Nainital,Car,8000,7800,relaxing,15-04-2025,17-04-2025,travel
Bangalore,Hampi,Train,5500,5400,adventure,01-05-2025,04-05-2025,food
Nagpur,Shirdi,Bus,3000,3200,devotional,10-06-2025,12-06-2025,stay
Pune,Alibaug,Car,4000,3800,relaxing,20-06-2025,22-06-2025,travel
Kochi,Kumarakom,Boat,6000,5900,relaxing,01-07-2025,04-07-2025,food
Ahmedabad,Surat,Train,3500,3400,adventure,10-08-2025,12-08-2025,stay
Chandigarh,Mohali,Car,2500,2400,devotional,20-08-2025,22-08-2025,travel
Delhi,Shimla,Bus,7000,7100,relaxing,10-09-2025,12-09-2025,food
Mumbai,Goa,Flight,15000,14500,adventure,15-09-2025,20-09-2025,stay
Mumbai,Goa,Flight,5000,14500,adventure,15-09-2025,20-09-2025,travel
Bangalore,Ooty,Car,8000,7900,relaxing,01-10-2025,03-10-2025,travel
Chennai,Madurai,Bus,2500,2300,devotional,10-10-2025,12-10-2025,food
Kolkata,Kalimpong,Train,7000,6900,adventure,05-11-2025,08-11-2025,stay
Hyderabad,Nagarjuna Sagar,Bus,4000,4200,devotional,20-11-2025,22-11-2025,travel
Kochi,Trivandrum,Train,3500,3600,relaxing,05-12-2025,07-12-2025,food
Chandigarh,"Leh,India",Flight,15000,14800,adventure,15-12-2025,20-12-2025,stay
Chandigarh,"Leh,India",Flight,8500,14800,adventure,15-12-2025,20-12-2025,travel
Delhi,Haridwar,Train,4500,4400,devotional,10-01-2026,12-01-2026,food
Pune,Kolhapur,Car,3000,3100,adventure,20-01-2026,22-01-2026,stay
Mumbai,Matheran,Train,4000,4200,relaxing,01-02-2026,03-02-2026,travel
Bangalore,Coorg,Bus,5000,5100,devotional,10-02-2026,12-02-2026,food
Hyderabad,Chilkur,Bus,2500,2600,relaxing,05-03-2026,06-03-2026,stay
Chennai,Pondicherry,Car,4500,4600,adventure,20-03-2026,22-03-2026,travel
Kolkata,Rishikesh,Train,6000,5900,devotional,01-04-2026,04-04-2026,food
Nagpur,Saptashrungi,Car,3000,3100,adventure,10-04-2026,12-04-2026,stay
Mumbai,Goa,Train,7000,7200,relaxing,01-05-2026,04-05-2026,travel
Bhopal,Khajuraho,Car,6000,6200,devotional,10-05-2026,12-05-2026,food
Chennai,Chidambaram,Bus,2500,2400,adventure,05-06-2026,06-06-2026,stay
Pune,Lonavala,Train,3500,3400,relaxing,15-06-2026,17-06-2026,food
Bangalore,Hampi,Flight,8000,7900,adventure,01-07-2026,04-07-2026,stay
